community_area_name,community_area,year,gang_dominant,n_gangs_present,pct_area_gang_control,n_dv_crimes,n_homicides,n_arrests,gang_map_year_used,imputed_gang_map,n_shoot_total,n_fem_shoot,n_fem_shoot_res,n_fem_shoot_pub,n_fem_shoot_fatal,n_male_shoot,n_dv_check,n_dv_res,n_dv_pub,n_dv_homicide,n_dv_arrested,total_pop,pop_black,pop_white,pop_latino,pop_female,median_hh_income,per_capita_income,pct_black,pct_white,pct_latino,pct_female,pct_poverty,pct_unemp_young,pct_bachelor_plus,area_km2,pop_density_per_km2,dv_consistency_ratio,arrest_rate_dv,dv_per_100k,fem_shoot_per_100k_female,gang_family
NEW CITY,61,2014,BLACK P STONES,11,0.44442804780341527,1010,15,246,2014,0,74,11,6,5,6,63,1010,777,191,1,254,40570,10433,19668,23969,20322.5,34029.99794243321,13810.70635027252,0.2567569557047697,0.4846682018122358,0.5914562052341465,0.5008164891683025,0.32345859056980547,0.2691511257713659,0.07508411694852322,12.508231999395155,3243.463984515301,1,0.2514851485148515,2489.5242790239095,54.12719891745603,People Nation
NEW CITY,61,2015,BLACK P STONES,10,0.4387991348296122,160,17,9,2015,0,114,14,0,13,3,100,160,124,30,0,38,40056,9978,19320,24185.5,19978.75,34397.2525749797,14503.001890426332,0.2487947441009307,0.4822309194787748,0.6042860915908227,0.49868855412843327,0.3072751880190845,0.24383579373563047,0.0754469082812762,12.508231999395155,3202.3710466784546,1,0.2375,399.4407829039345,70.0744541074892,People Nation
NEW CITY,61,2016,BLACK P STONES,10,0.438799133560464,1139,42,201,2016,0,173,23,4,18,9,150,1139,829,263,1,230,39542,9523,18972,24402,19635,34764.50720752618,15195.297430580142,0.2408325324970917,0.47979363714531387,0.6171159779474988,0.4965606190885641,0.29109178546836345,0.21852046169989503,0.0758096996140292,12.508231999395155,3161.2781088416077,1,0.2019315188762072,2880.481513327601,117.13776419658772,People Nation
NEW CITY,61,2017,BLACK P STONES,10,0.43879913356046407,1040,19,200,2017,0,97,9,1,5,2,88,1040,760,234,2,214,38996.75,8977.5,17244,24565.5,19372,37576.340110285986,16917.10304135137,0.22974647854628844,0.4405443526147468,0.6304984486248328,0.4967680460192683,0.29068726015390417,0.2083619046727671,0.08521485430149807,12.508231999395155,3117.6868163211007,1,0.20576923076923076,2666.8889074089507,46.458806524881275,People Nation
NEW CITY,61,2018,BLACK P STONES,10,0.43879913356046407,997,24,209,2018,0,85,7,1,5,3,78,997,755,204,0,219,38451.5,8432,15516,24729,19109,40388.17301304579,18638.9086521226,0.2186604245954852,0.4012950680841797,0.6438809193021667,0.49697547294997246,0.2902827348394449,0.1982033476456392,0.09462000898896694,12.508231999395155,3074.095523800594,1,0.21965897693079237,2592.8767408293565,36.631953529750376,People Nation
NEW CITY,61,2019,BLACK P STONES,10,0.43879913356046407,1056,7,216,2019,0,64,9,2,7,2,55,1056,800,216,1,235,37906.25,7886.5,13788,24892.5,18846,43200.0059158056,20360.714262893824,0.2075743706446819,0.3620457835536125,0.6572633899795006,0.49718289988067665,0.2898782095249856,0.1880447906185113,0.10402516367643584,12.508231999395155,3030.504231280087,1,0.22253787878787878,2785.820280296785,47.75549188156638,People Nation
NEW CITY,61,2020,BLACK P STONES,9,0.42034328028928536,907,15,183,2020,0,95,14,0,8,5,81,907,694,184,0,193,37361,7341,12060,25056,18583,46011.83881856541,22082.519873665053,0.19648831669387865,0.3227964990230454,0.6706458606568346,0.4973903268113809,0.2894736842105263,0.17788623359138336,0.1134303183639047,12.508231999395155,2986.91293875958,1,0.2127894156560088,2427.6652123872486,75.33767421837163,People Nation
NEW CITY,61,2021,BLACK P STONES,9,0.4203432802892853,979,15,136,2021,0,128,25,0,25,5,103,979,720,214,1,136,37361,7341,12060,25056,18583,46011.83881856541,22082.519873665053,0.19648831669387865,0.3227964990230454,0.6706458606568346,0.4973903268113809,0.2894736842105263,0.17788623359138336,0.1134303183639047,12.508231999395155,2986.91293875958,1,0.13891726251276812,2620.379540162201,134.53156110423507,People Nation
NEW CITY,61,2022,BLACK P STONES,9,0.39121652346391145,861,23,120,2022,0,120,19,3,16,3,101,861,643,177,2,127,37361,7341,12060,25056,18583,46011.83881856541,22082.519873665053,0.19648831669387865,0.3227964990230454,0.6706458606568346,0.4973903268113809,0.2894736842105263,0.17788623359138336,0.1134303183639047,12.508231999395155,2986.91293875958,1,0.14750290360046459,2304.5421696421404,102.24398643921865,People Nation
NEW CITY,61,2023,BLACK P STONES,10,0.3910709519307324,916,20,145,2023,0,129,21,3,17,1,108,916,703,190,2,158,37361,7341,12060,25056,18583,46011.83881856541,22082.519873665053,0.19648831669387865,0.3227964990230454,0.6706458606568346,0.4973903268113809,0.2894736842105263,0.17788623359138336,0.1134303183639047,12.508231999395155,2986.91293875958,1,0.17248908296943233,2451.7545033591177,113.00651132755745,People Nation
NEW CITY,61,2024,BLACK P STONES,9,0.42387787862525195,885,15,180,2024,0,90,18,4,13,8,72,885,703,162,1,187,37361,7341,12060,25056,18583,46011.83881856541,22082.519873665053,0.19648831669387865,0.3227964990230454,0.6706458606568346,0.4973903268113809,0.2894736842105263,0.17788623359138336,0.1134303183639047,12.508231999395155,2986.91293875958,1,0.21129943502824858,2368.7802789004577,96.86272399504924,People Nation
WEST ELSDON,62,2008,LATIN KINGS,1,0.40306186581903664,234,1,0,2008,0,1,0,0,0,0,1,234,177,40,0,34,17907,437,9852,13438,8939,50347.92310269727,16938.20271402245,0.0244038644105657,0.550175908862456,0.7504327916457252,0.4991902607918691,0.11768661735036988,0.17531515684549986,0.0863881282572211,3.0389708150844146,5892.455403360822,1,0.1452991452991453,1306.7515496733122,0,People Nation
WEST ELSDON,62,2009,LATIN KINGS,1,0.40306186581903664,212,0,0,2009,0,0,0,0,0,0,0,212,166,38,0,56,18221.5,380,10289,13917,9131.5,49156.50966331307,16683.816710705985,0.02102922233610063,0.5639494375169177,0.7631115752109441,0.5010428390846402,0.12856296059516031,0.17531515684549986,0.0863881282572211,3.0389708150844146,5995.944386683376,1,0.2641509433962264,1163.4607469198475,0,People Nation
WEST ELSDON,62,2010,LATIN KINGS,1,0.4318767357587137,198,2,0,2010,0,4,2,1,1,1,2,198,154,31,2,42,18536,323,10726,14396,9324,47965.096223928864,16429.430707389518,0.01765458026163557,0.5777229661713794,0.7757903587761629,0.5028954173774112,0.1394393038399508,0.17531515684549986,0.0863881282572211,3.0389708150844146,6099.433370005931,1,0.21212121212121213,1068.1916271040138,21.45002145002145,People Nation
WEST ELSDON,62,2011,NA,NA,NA,213,0,0,2010,1,2,0,0,0,0,2,213,166,33,0,52,18850.5,266,11163,14875,9516.5,46773.68278454465,16175.044704073052,0.01427993818717051,0.591496494825841,0.7884691423413817,0.5047479956701822,0.15031564708474127,0.17531515684549986,0.0863881282572211,3.0389708150844146,6202.922353328485,1,0.24413145539906103,1129.9435028248588,0,NA
WEST ELSDON,62,2012,LATIN KINGS,1,0.21165300252517244,188,1,0,2012,0,4,0,0,0,0,4,188,139,36,0,44,19165,209,11600,15354,9709,45582.26934516045,15920.658700756589,0.01090529611270545,0.6052700234803027,0.8011479259066006,0.5066005739629533,0.16119199032953171,0.17531515684549986,0.0863881282572211,3.0389708150844146,6306.411336651039,1,0.23404255319148937,980.9548656404904,0,People Nation
