yr,series,query,Female,Male,total,fem_share,post,pre,diff_pp,p_value,fonte,unidade
2017,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",2104,16785,18889,0.11138758007305839,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2018,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",2236,18621,20857,0.10720621374119,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2019,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",2421,19269,21690,0.1116182572614108,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2020,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",1439,13657,15096,0.0953232644409115,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2021,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",1140,11902,13042,0.08740990645606501,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2022,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",1038,11126,12164,0.08533377178559684,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2023,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",1248,11211,12459,0.10016855285335902,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2024,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",1239,10582,11821,0.10481346755773623,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2011,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",73,2569,2642,0.027630582891748676,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2012,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",81,2660,2741,0.029551258664720904,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2013,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",84,2173,2257,0.03721754541426672,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2014,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",79,2029,2108,0.03747628083491461,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2015,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",77,2233,2310,0.03333333333333333,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2016,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",92,2197,2289,0.04019222367846221,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2017,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",131,3192,3323,0.039422208847427025,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2018,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",136,3256,3392,0.04009433962264151,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2019,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",178,3558,3736,0.04764453961456103,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2020,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",226,4585,4811,0.04697568073165662,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2021,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",290,4883,5173,0.056060313164508026,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2022,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",313,4736,5049,0.06199247375717964,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2023,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",258,4087,4345,0.059378596087456846,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2024,UUW (porte),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender&$order=yr&$limit=5000",252,3400,3652,0.06900328587075576,0.05244618395303327,0.032519491177677474,1.9926692775355797,4.752802354388482e-16,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
