stat,group,sex,period,band,n,value,total,chi2_fem_treated,p_fem_treated,chi2_masc_treated,p_masc_treated,notes
band_share,Control,M,pre,60-69,5,0.00625,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,70-79,4,0.005,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,80+,0,0,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,0-19,471,0.19319114027891715,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,20-29,1012,0.41509433962264153,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,30-39,523,0.21452009844134537,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,40-49,229,0.09392945036915505,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,50-59,136,0.05578342904019688,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,60-69,50,0.020508613617719443,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,70-79,9,0.0036915504511894994,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,post,80+,8,0.003281378178835111,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,0-19,284,0.343409915356711,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,20-29,277,0.3349455864570738,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,30-39,135,0.16324062877871826,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,40-49,65,0.07859733978234583,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,50-59,48,0.05804111245465538,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,60-69,9,0.010882708585247884,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,70-79,8,0.009673518742442563,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,F,pre,80+,1,0.0012091898428053204,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,0-19,2798,0.19234206365573658,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
