outcome,model,term,estimate,se_hc1,p_hc1,se_wild,p_wild,n,r2,r2_adj
DV / 100k pop,M2,avg_unemp_y,9017.14849430131,1585.314507903118,3.182737346574511e-7,1524.6012214944944,1.301698923149192e-7,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,log_inc,850.4654344439219,1029.0203357297737,0.4115093898794133,988.6288516400901,0.3927668377795849,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,avg_bach,799.9865310195664,942.9231637147603,0.3992756285968255,907.9683570105898,0.38147556191398835,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M3,(Intercept),2489.9994702326935,9986.050066600412,0.8039160113819774,9242.718763928184,0.7885155369491788,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_gang,14.937418142949573,726.8933090676481,0.9836708808232167,667.7485634502318,0.9822247907374154,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_pov,6224.216355032259,2980.0745881482844,0.04085538443139026,2752.45786822315,0.02725706416617984,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_unemp_y,1662.494257609435,1680.480435672686,0.326363114139954,1560.8971974668557,0.2909661050775152,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,log_inc,132.4364424331239,862.1617825044358,0.8784163496439952,798.3562619610204,0.8687861161928286,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_bach,-201.42307671814848,1117.8397292910447,0.8575914003541164,1035.13813728435,0.8463535097324466,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_black,1818.9595403552332,979.5757863107378,0.0680795189110066,904.4981097154046,0.048677124328379104,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_latino,-171.80681153584754,923.4563946322726,0.8530148403646813,856.3610369842108,0.8416490503395418,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,log_pop,-411.1321063283487,161.70109540707315,0.013516144708139275,148.73751504982746,0.007505472055644949,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_homicides,56.449224173096844,28.71885613469761,0.05383015011222248,26.67638579602311,0.03836109251404872,72,0.9138779067281662,0.9013763125435451
