year,community_area,sex,age
2017,CHICAGO LAWN,M,0-19
2017,AUBURN GRESHAM,M,20-29
2017,NEAR WEST SIDE,M,20-29
2017,NEAR WEST SIDE,M,0-19
2017,NEAR WEST SIDE,M,0-19
2017,NEAR WEST SIDE,M,20-29
2017,NEAR WEST SIDE,M,30-39
2017,NEAR WEST SIDE,M,20-29
2017,CHATHAM,M,30-39
2017,AUBURN GRESHAM,M,20-29
2017,AUBURN GRESHAM,M,20-29
2017,EAST GARFIELD PARK,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,CHATHAM,M,20-29
2017,SOUTH CHICAGO,M,30-39
2017,HUMBOLDT PARK,F,0-19
2017,NEAR NORTH SIDE,F,20-29
2017,HUMBOLDT PARK,M,20-29
2017,HUMBOLDT PARK,F,20-29
2017,HUMBOLDT PARK,F,20-29
2017,HUMBOLDT PARK,M,20-29
2017,ROSELAND,M,50-59
2017,AUSTIN,M,60-69
2017,AUSTIN,F,60-69
2017,SOUTH LAWNDALE,F,0-19
2017,GREATER GRAND CROSSING,M,20-29
2017,NEW CITY,M,30-39
2017,NEW CITY,M,30-39
2017,NEW CITY,F,30-39
2017,HUMBOLDT PARK,M,0-19
2017,HUMBOLDT PARK,M,0-19
2017,NEW CITY,M,30-39
2017,AUSTIN,F,0-19
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,AUSTIN,M,30-39
2017,AUSTIN,M,20-29
2017,AUSTIN,F,20-29
2017,ENGLEWOOD,M,0-19
2017,ENGLEWOOD,M,0-19
2017,WOODLAWN,M,30-39
2017,HUMBOLDT PARK,M,20-29
2017,WASHINGTON PARK,M,30-39
2017,LINCOLN PARK,M,20-29
2017,CHATHAM,M,20-29
2017,CHATHAM,M,30-39
2017,CHATHAM,M,20-29
2017,ENGLEWOOD,M,20-29
2017,ENGLEWOOD,M,20-29
2017,ENGLEWOOD,M,20-29
2017,LOWER WEST SIDE,F,30-39
2017,HUMBOLDT PARK,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,ROSELAND,F,20-29
2017,SOUTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,GREATER GRAND CROSSING,M,0-19
2017,HUMBOLDT PARK,F,30-39
2017,AUSTIN,UNKNOWN,UNKNOWN
2017,CALUMET HEIGHTS,F,0-19
2017,CALUMET HEIGHTS,F,0-19
2017,WEST PULLMAN,M,40-49
2017,CHATHAM,M,20-29
2017,CHATHAM,M,20-29
2017,AVALON PARK,M,30-39
2017,WEST GARFIELD PARK,M,20-29
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,HUMBOLDT PARK,M,30-39
2017,HUMBOLDT PARK,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,AUBURN GRESHAM,M,30-39
2017,AVONDALE,M,20-29
2017,LOOP,M,20-29
2017,WEST ENGLEWOOD,M,70-79
2017,GREATER GRAND CROSSING,M,30-39
2017,AVONDALE,M,0-19
2017,GREATER GRAND CROSSING,M,30-39
2017,BURNSIDE,M,40-49
2017,ROSELAND,M,20-29
2017,WOODLAWN,M,40-49
2017,BEVERLY,M,30-39
2017,WEST ENGLEWOOD,M,0-19
2017,AUBURN GRESHAM,M,30-39
2017,AUBURN GRESHAM,M,30-39
2017,KENWOOD,M,20-29
2017,AUSTIN,M,20-29
2017,MCKINLEY PARK,F,20-29
2017,ASHBURN,M,30-39
2017,ROGERS PARK,M,30-39
2017,ROSELAND,M,30-39
2017,WEST LAWN,M,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,WEST GARFIELD PARK,M,70-79
2017,AUSTIN,M,30-39
2017,ENGLEWOOD,M,0-19
2017,AUBURN GRESHAM,M,30-39
2017,AUSTIN,F,20-29
2017,NEW CITY,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,BELMONT CRAGIN,M,0-19
2017,GREATER GRAND CROSSING,M,20-29
2017,AUBURN GRESHAM,F,30-39
2017,UPTOWN,F,0-19
2017,WOODLAWN,F,30-39
2017,DOUGLAS,M,0-19
2017,DOUGLAS,M,0-19
2017,NEW CITY,M,20-29
2017,SOUTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,20-29
2017,AUSTIN,M,20-29
2017,AUSTIN,M,30-39
2017,NORTH LAWNDALE,M,30-39
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,30-39
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,30-39
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,20-29
2017,NEW CITY,M,20-29
2017,NEW CITY,M,30-39
2017,NEW CITY,M,0-19
2017,LOOP,M,30-39
2017,LOOP,M,20-29
2017,AUSTIN,M,20-29
2017,AUSTIN,F,20-29
2017,AUSTIN,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,CHICAGO LAWN,M,20-29
2017,CHICAGO LAWN,M,20-29
2017,WEST GARFIELD PARK,M,30-39
2017,AUSTIN,F,30-39
2017,AUSTIN,F,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,SOUTH SHORE,M,20-29
2017,AUBURN GRESHAM,M,0-19
2017,GREATER GRAND CROSSING,M,20-29
2017,WASHINGTON HEIGHTS,M,20-29
2017,AUBURN GRESHAM,F,0-19
2017,WEST ENGLEWOOD,M,20-29
2017,WEST PULLMAN,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,BELMONT CRAGIN,M,20-29
2017,AUSTIN,M,0-19
2017,WEST GARFIELD PARK,M,40-49
2017,AUSTIN,M,30-39
2017,WOODLAWN,M,20-29
2017,AUSTIN,F,20-29
2017,CHATHAM,M,0-19
2017,EAST GARFIELD PARK,M,30-39
2017,AUSTIN,M,0-19
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,BRIGHTON PARK,M,20-29
2017,CHATHAM,F,0-19
2017,CHATHAM,M,20-29
2017,NEW CITY,M,40-49
2017,BRIGHTON PARK,M,30-39
2017,HUMBOLDT PARK,M,40-49
2017,GAGE PARK,F,30-39
2017,GAGE PARK,M,30-39
2017,NEW CITY,F,30-39
2017,NORTH LAWNDALE,M,20-29
2017,ROSELAND,M,0-19
2017,WEST ENGLEWOOD,M,0-19
2017,AUSTIN,M,30-39
2017,SOUTH CHICAGO,M,20-29
2017,SOUTH CHICAGO,M,20-29
2017,SOUTH CHICAGO,F,0-19
2017,WEST GARFIELD PARK,M,30-39
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,0-19
2017,AUSTIN,M,30-39
2017,AUSTIN,UNKNOWN,UNKNOWN
2017,CHATHAM,M,20-29
2017,SOUTH SHORE,M,20-29
2017,ENGLEWOOD,M,20-29
2017,SOUTH SHORE,M,30-39
2017,WOODLAWN,M,30-39
2017,SOUTH SHORE,M,30-39
2017,ROSELAND,M,20-29
2017,CHICAGO LAWN,M,30-39
2017,CHICAGO LAWN,M,30-39
2017,FULLER PARK,M,20-29
2017,HUMBOLDT PARK,M,30-39
2017,CHATHAM,M,20-29
2017,AUSTIN,M,20-29
2017,WEST GARFIELD PARK,M,30-39
2017,SOUTH SHORE,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,HUMBOLDT PARK,M,30-39
2017,WOODLAWN,M,20-29
2017,LOGAN SQUARE,F,20-29
2017,AUSTIN,M,20-29
2017,SOUTH LAWNDALE,M,20-29
2017,NEAR WEST SIDE,M,40-49
2017,NEAR WEST SIDE,M,30-39
2017,NEAR WEST SIDE,M,30-39
2017,NORTH LAWNDALE,M,30-39
2017,CHICAGO LAWN,M,0-19
2017,NORTH LAWNDALE,M,30-39
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,WEST ENGLEWOOD,M,40-49
2017,CHATHAM,UNKNOWN,UNKNOWN
2017,AUBURN GRESHAM,M,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,NEW CITY,M,30-39
2017,WASHINGTON HEIGHTS,M,20-29
2017,AUSTIN,M,0-19
2017,WEST ENGLEWOOD,M,20-29
2017,ALBANY PARK,F,20-29
2017,HUMBOLDT PARK,F,20-29
2017,HUMBOLDT PARK,M,0-19
2017,WASHINGTON PARK,M,0-19
2017,FULLER PARK,M,20-29
2017,FULLER PARK,M,20-29
2017,ROSELAND,M,20-29
2017,AUBURN GRESHAM,F,0-19
2017,GREATER GRAND CROSSING,M,20-29
2017,WEST GARFIELD PARK,F,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,WASHINGTON HEIGHTS,M,20-29
2017,HYDE PARK,M,30-39
2017,HUMBOLDT PARK,M,30-39
2017,HUMBOLDT PARK,M,30-39
2017,NEW CITY,M,0-19
2017,GREATER GRAND CROSSING,M,30-39
2017,ROGERS PARK,M,40-49
2017,ROGERS PARK,F,60-69
2017,AUBURN GRESHAM,M,20-29
2017,BRIGHTON PARK,M,20-29
2017,GRAND BOULEVARD,M,0-19
2017,WASHINGTON PARK,M,30-39
2017,HUMBOLDT PARK,UNKNOWN,UNKNOWN
2017,HUMBOLDT PARK,F,30-39
2017,HUMBOLDT PARK,M,20-29
2017,ENGLEWOOD,M,0-19
2017,AUSTIN,M,30-39
2017,ROSELAND,M,20-29
2017,AUSTIN,F,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,SOUTH CHICAGO,M,30-39
2017,NEW CITY,M,30-39
2017,HYDE PARK,M,30-39
2017,AUSTIN,M,20-29
2017,HUMBOLDT PARK,M,50-59
2017,BELMONT CRAGIN,M,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,EAST GARFIELD PARK,M,20-29
2017,WASHINGTON HEIGHTS,M,20-29
2017,WEST TOWN,M,20-29
2017,WEST ENGLEWOOD,M,40-49
2017,SOUTH SHORE,M,40-49
2017,WEST TOWN,M,0-19
2017,WEST TOWN,M,20-29
2017,SOUTH SHORE,M,0-19
2017,LOWER WEST SIDE,M,0-19
2017,ROSELAND,M,40-49
2017,BELMONT CRAGIN,M,40-49
2017,WASHINGTON PARK,M,20-29
2017,ASHBURN,M,20-29
2017,ASHBURN,F,0-19
2017,SOUTH SHORE,M,0-19
2017,NEW CITY,M,40-49
2017,AUSTIN,F,20-29
2017,AUSTIN,M,30-39
2017,AUSTIN,F,20-29
2017,ENGLEWOOD,M,0-19
2017,KENWOOD,M,20-29
2017,SOUTH SHORE,M,20-29
2017,AUSTIN,M,30-39
2017,WASHINGTON HEIGHTS,M,20-29
2017,WOODLAWN,F,20-29
2017,NEW CITY,M,40-49
2017,AUSTIN,M,50-59
2017,NEAR WEST SIDE,M,40-49
2017,DOUGLAS,F,20-29
2017,ARCHER HEIGHTS,M,20-29
2017,ARCHER HEIGHTS,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,ENGLEWOOD,M,20-29
2017,WEST PULLMAN,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,WOODLAWN,M,20-29
2017,ENGLEWOOD,M,20-29
2017,SOUTH SHORE,M,30-39
2017,WOODLAWN,M,30-39
2017,WOODLAWN,M,20-29
2017,WOODLAWN,M,30-39
2017,NEAR WEST SIDE,F,20-29
2017,CHICAGO LAWN,M,20-29
2017,GREATER GRAND CROSSING,M,20-29
2017,IRVING PARK,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,AUSTIN,M,20-29
2017,AUSTIN,M,20-29
2017,GREATER GRAND CROSSING,M,20-29
2017,SOUTH LAWNDALE,M,20-29
2017,SOUTH LAWNDALE,M,0-19
2017,AUBURN GRESHAM,M,30-39
2017,AUBURN GRESHAM,M,0-19
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,ROSELAND,F,20-29
2017,CHATHAM,M,20-29
2017,HUMBOLDT PARK,M,30-39
2017,WASHINGTON PARK,M,20-29
2017,AVALON PARK,F,0-19
2017,AVALON PARK,M,0-19
2017,WEST ENGLEWOOD,M,30-39
2017,SOUTH CHICAGO,M,20-29
2017,SOUTH LAWNDALE,M,0-19
2017,SOUTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,40-49
2017,AUSTIN,M,0-19
2017,LOWER WEST SIDE,M,20-29
2017,SOUTH SHORE,M,0-19
2017,HERMOSA,M,0-19
2017,CHICAGO LAWN,M,30-39
2017,SOUTH CHICAGO,M,30-39
2017,GAGE PARK,M,20-29
2017,ENGLEWOOD,M,0-19
2017,EAST SIDE,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,SOUTH DEERING,M,20-29
2017,ENGLEWOOD,M,20-29
2017,WASHINGTON PARK,M,30-39
2017,AUBURN GRESHAM,M,20-29
2017,WOODLAWN,M,0-19
2017,AUSTIN,M,20-29
2017,EAST SIDE,M,0-19
2017,GREATER GRAND CROSSING,M,30-39
2017,AUSTIN,M,30-39
2017,WEST ENGLEWOOD,M,40-49
2017,AUSTIN,M,0-19
2017,AUSTIN,M,0-19
2017,ENGLEWOOD,M,0-19
2017,PULLMAN,M,30-39
2017,PULLMAN,M,30-39
2017,JEFFERSON PARK,M,30-39
2017,JEFFERSON PARK,M,50-59
2017,JEFFERSON PARK,M,50-59
2017,GAGE PARK,M,40-49
2017,HUMBOLDT PARK,M,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,AUSTIN,M,30-39
2017,EAST GARFIELD PARK,M,30-39
2017,AUSTIN,M,30-39
2017,AUSTIN,M,30-39
2017,AUSTIN,F,20-29
2017,AUSTIN,M,30-39
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,AUSTIN,M,20-29
2017,GARFIELD RIDGE,M,20-29
2017,CHICAGO LAWN,M,0-19
2017,GREATER GRAND CROSSING,F,0-19
2017,WEST PULLMAN,M,0-19
2017,WEST PULLMAN,M,0-19
2017,NEAR WEST SIDE,M,20-29
2017,AUSTIN,UNKNOWN,UNKNOWN
2017,WEST GARFIELD PARK,M,0-19
2017,EAST GARFIELD PARK,F,20-29
2017,IRVING PARK,M,40-49
2017,AUSTIN,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,SOUTH CHICAGO,F,50-59
2017,BRIGHTON PARK,M,20-29
2017,AUBURN GRESHAM,M,20-29
2017,NEW CITY,M,20-29
2017,NORTH LAWNDALE,M,30-39
2017,NEAR WEST SIDE,M,0-19
2017,CHATHAM,M,30-39
2017,NEAR NORTH SIDE,M,20-29
2017,WEST RIDGE,M,30-39
2017,WEST RIDGE,M,30-39
2017,WEST RIDGE,M,20-29
2017,GREATER GRAND CROSSING,M,40-49
2017,DOUGLAS,M,0-19
2017,EAST GARFIELD PARK,M,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,GREATER GRAND CROSSING,M,30-39
2017,SOUTH SHORE,M,20-29
2017,NEAR SOUTH SIDE,M,20-29
2017,NEW CITY,M,0-19
2017,NEW CITY,M,0-19
2017,NORTH LAWNDALE,M,0-19
2017,BRIGHTON PARK,M,20-29
2017,CHATHAM,M,20-29
2017,CHATHAM,M,30-39
2017,NEW CITY,M,20-29
2017,HUMBOLDT PARK,M,0-19
2017,ROSELAND,M,20-29
2017,ENGLEWOOD,M,0-19
2017,AUSTIN,F,20-29
2017,AUSTIN,F,0-19
2017,AVALON PARK,M,0-19
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,0-19
2017,LOWER WEST SIDE,F,20-29
2017,WASHINGTON HEIGHTS,F,20-29
2017,AUSTIN,M,20-29
2017,ENGLEWOOD,M,20-29
2017,CHICAGO LAWN,F,20-29
2017,SOUTH SHORE,M,20-29
2017,EAST GARFIELD PARK,M,30-39
2017,NORTH LAWNDALE,M,20-29
2017,WEST ENGLEWOOD,M,30-39
2017,WEST ENGLEWOOD,M,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,SOUTH LAWNDALE,M,30-39
2017,SOUTH SHORE,F,40-49
2017,WEST GARFIELD PARK,M,20-29
2017,CHATHAM,M,20-29
2017,CALUMET HEIGHTS,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,AUSTIN,M,20-29
2017,NORTH LAWNDALE,M,30-39
2017,NEAR SOUTH SIDE,M,20-29
2017,CHICAGO LAWN,F,20-29
2017,AUSTIN,M,20-29
2017,WEST RIDGE,M,20-29
2017,CHICAGO LAWN,M,20-29
2017,AUSTIN,F,20-29
2017,SOUTH LAWNDALE,F,0-19
2017,NEW CITY,M,20-29
2017,ENGLEWOOD,M,20-29
2017,ENGLEWOOD,F,20-29
2017,EAST GARFIELD PARK,UNKNOWN,UNKNOWN
2017,NORTH LAWNDALE,M,0-19
2017,AUSTIN,M,20-29
2017,NEW CITY,M,20-29
2017,NEW CITY,M,0-19
2017,HUMBOLDT PARK,M,0-19
2017,CHATHAM,M,60-69
2017,HUMBOLDT PARK,M,20-29
2017,ENGLEWOOD,M,0-19
2017,ROSELAND,M,0-19
2017,WOODLAWN,UNKNOWN,UNKNOWN
2017,WOODLAWN,M,40-49
2017,RIVERDALE,M,20-29
2017,ROSELAND,M,40-49
2017,AUSTIN,M,20-29
2017,AUSTIN,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,WASHINGTON HEIGHTS,M,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,AUBURN GRESHAM,M,30-39
2017,ROSELAND,M,0-19
2017,WEST PULLMAN,M,20-29
2017,WOODLAWN,M,20-29
2017,WEST TOWN,M,20-29
2017,HUMBOLDT PARK,M,30-39
2017,WEST TOWN,M,40-49
2017,MORGAN PARK,F,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,NEAR WEST SIDE,M,30-39
2017,AUSTIN,M,30-39
2017,SOUTH DEERING,M,40-49
2017,EAST GARFIELD PARK,M,30-39
2017,DUNNING,M,30-39
2017,WASHINGTON PARK,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,KENWOOD,M,20-29
2017,ROSELAND,M,40-49
2017,AUSTIN,M,20-29
2017,AUBURN GRESHAM,M,30-39
2017,SOUTH SHORE,M,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,WEST GARFIELD PARK,M,40-49
2017,CHICAGO LAWN,M,0-19
2017,CHICAGO LAWN,M,0-19
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,AUSTIN,F,20-29
2017,AUSTIN,M,0-19
2017,NORTH LAWNDALE,M,40-49
2017,MONTCLARE,M,30-39
2017,CHATHAM,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,WEST PULLMAN,M,20-29
2017,AUBURN GRESHAM,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,30-39
2017,WASHINGTON PARK,M,20-29
2017,CALUMET HEIGHTS,M,30-39
2017,ROSELAND,M,60-69
2017,NORTH LAWNDALE,F,0-19
2017,NORTH LAWNDALE,M,20-29
2017,AUSTIN,M,20-29
2017,NEAR NORTH SIDE,M,0-19
2017,NEAR NORTH SIDE,M,0-19
2017,SOUTH DEERING,M,0-19
2017,SOUTH DEERING,M,20-29
2017,AUBURN GRESHAM,M,20-29
2017,EAST SIDE,M,0-19
2017,WASHINGTON PARK,M,20-29
2017,GREATER GRAND CROSSING,M,70-79
2017,EAST GARFIELD PARK,M,20-29
2017,EAST GARFIELD PARK,M,20-29
2017,AUSTIN,M,20-29
2017,BRIGHTON PARK,M,20-29
2017,BRIGHTON PARK,F,20-29
2017,ROSELAND,M,30-39
2017,CHICAGO LAWN,F,20-29
2017,WEST GARFIELD PARK,M,40-49
2017,BRIGHTON PARK,M,20-29
2017,MONTCLARE,M,0-19
2017,MONTCLARE,M,0-19
2017,EAST GARFIELD PARK,M,20-29
2017,AUSTIN,M,40-49
2017,EAST GARFIELD PARK,M,0-19
2017,NEW CITY,M,20-29
2017,NEW CITY,M,20-29
2017,NEW CITY,M,20-29
2017,NEAR NORTH SIDE,M,20-29
2017,GARFIELD RIDGE,M,0-19
2017,GARFIELD RIDGE,M,0-19
2017,SOUTH LAWNDALE,M,0-19
2017,WASHINGTON PARK,M,0-19
2017,NEW CITY,M,30-39
2017,NEW CITY,F,40-49
2017,NEW CITY,M,30-39
2017,KENWOOD,M,0-19
2017,FOREST GLEN,M,40-49
2017,WEST PULLMAN,M,20-29
2017,ROSELAND,F,30-39
2017,EAST GARFIELD PARK,UNKNOWN,UNKNOWN
2017,WOODLAWN,F,20-29
2017,NORTH LAWNDALE,M,20-29
2017,CHATHAM,M,20-29
2017,SOUTH LAWNDALE,M,20-29
2017,SOUTH LAWNDALE,M,30-39
2017,MORGAN PARK,M,20-29
2017,WEST GARFIELD PARK,M,0-19
2017,WASHINGTON HEIGHTS,F,20-29
2017,GARFIELD RIDGE,M,50-59
2017,EAST GARFIELD PARK,M,20-29
2017,SOUTH SHORE,M,20-29
2017,SOUTH SHORE,M,50-59
2017,SOUTH SHORE,M,0-19
2017,NEW CITY,M,UNKNOWN
2017,NEW CITY,M,UNKNOWN
2017,WEST ENGLEWOOD,M,60-69
2017,LOWER WEST SIDE,M,0-19
2017,AUSTIN,M,0-19
2017,CHATHAM,M,20-29
2017,GAGE PARK,M,30-39
2017,WEST ELSDON,M,0-19
2017,WEST ENGLEWOOD,M,20-29
2017,WASHINGTON HEIGHTS,M,20-29
2017,GREATER GRAND CROSSING,M,20-29
2017,ROSELAND,M,20-29
2017,AUBURN GRESHAM,M,0-19
2017,SOUTH CHICAGO,M,30-39
2017,WEST GARFIELD PARK,M,20-29
2017,ROSELAND,M,20-29
2017,WEST GARFIELD PARK,F,0-19
2017,HUMBOLDT PARK,F,30-39
2017,EAST SIDE,M,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,WEST PULLMAN,M,0-19
2017,UPTOWN,M,0-19
2017,HERMOSA,M,30-39
2017,AUSTIN,M,30-39
2017,CHATHAM,M,0-19
2017,ROSELAND,M,20-29
2017,ROSELAND,M,20-29
2017,AUSTIN,M,0-19
2017,AUSTIN,M,20-29
2017,GRAND BOULEVARD,M,40-49
2017,BELMONT CRAGIN,M,0-19
2017,BELMONT CRAGIN,M,0-19
2017,SOUTH CHICAGO,M,30-39
2017,ENGLEWOOD,M,30-39
2017,SOUTH LAWNDALE,M,0-19
2017,SOUTH LAWNDALE,M,30-39
2017,SOUTH CHICAGO,M,0-19
2017,SOUTH CHICAGO,M,30-39
2017,SOUTH CHICAGO,F,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,SOUTH SHORE,F,20-29
2017,ROSELAND,M,0-19
2017,WEST ENGLEWOOD,M,50-59
2017,WOODLAWN,M,20-29
2017,SOUTH SHORE,M,0-19
2017,AUSTIN,M,0-19
2017,BELMONT CRAGIN,M,30-39
2017,BELMONT CRAGIN,F,20-29
2017,NORTH LAWNDALE,UNKNOWN,UNKNOWN
2017,ROGERS PARK,M,0-19
2017,WEST ENGLEWOOD,M,30-39
2017,SOUTH CHICAGO,F,30-39
2017,SOUTH CHICAGO,M,0-19
2017,CHICAGO LAWN,M,0-19
2017,CHICAGO LAWN,F,0-19
2017,LOWER WEST SIDE,M,40-49
2017,WEST ENGLEWOOD,M,30-39
2017,WEST ENGLEWOOD,M,20-29
2017,EAST GARFIELD PARK,M,30-39
2017,WEST ENGLEWOOD,M,0-19
2017,WEST ENGLEWOOD,M,0-19
2017,WOODLAWN,M,30-39
2017,WOODLAWN,M,20-29
2017,SOUTH SHORE,M,50-59
2017,NEW CITY,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,AUBURN GRESHAM,F,0-19
2017,MORGAN PARK,M,20-29
2017,ROSELAND,M,20-29
2017,ENGLEWOOD,M,20-29
2017,HUMBOLDT PARK,M,0-19
2017,GAGE PARK,M,20-29
2017,AUBURN GRESHAM,M,40-49
2017,ROSELAND,M,20-29
2017,ROSELAND,M,20-29
2017,WASHINGTON PARK,M,30-39
2017,AUBURN GRESHAM,M,0-19
2017,AUBURN GRESHAM,M,20-29
2017,WEST PULLMAN,M,30-39
2017,SOUTH SHORE,F,20-29
2017,AUSTIN,M,50-59
2017,WEST ENGLEWOOD,M,20-29
2017,SOUTH SHORE,M,20-29
2017,WASHINGTON PARK,M,30-39
2017,AUBURN GRESHAM,M,0-19
2017,WASHINGTON PARK,M,20-29
2017,WASHINGTON PARK,F,30-39
2017,HUMBOLDT PARK,M,20-29
2017,AUSTIN,M,20-29
2017,HERMOSA,F,50-59
2017,CHATHAM,M,30-39
2017,CHATHAM,M,40-49
2017,HUMBOLDT PARK,M,20-29
2017,BELMONT CRAGIN,M,20-29
2017,WEST TOWN,F,30-39
2017,WEST ENGLEWOOD,M,30-39
2017,WEST ENGLEWOOD,M,0-19
2017,HERMOSA,M,40-49
2017,AUSTIN,M,0-19
2017,AUSTIN,M,0-19
2017,GREATER GRAND CROSSING,M,0-19
2017,GREATER GRAND CROSSING,M,20-29
2017,AUBURN GRESHAM,M,0-19
2017,ROSELAND,M,20-29
2017,AUSTIN,UNKNOWN,UNKNOWN
2017,WASHINGTON PARK,M,20-29
2017,OHARE,F,50-59
2017,HERMOSA,M,30-39
2017,EAST GARFIELD PARK,M,0-19
2017,WEST PULLMAN,M,20-29
2017,ROSELAND,F,20-29
2017,AUSTIN,M,20-29
2017,WEST LAWN,M,0-19
2017,UPTOWN,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,WEST TOWN,M,30-39
2017,WEST TOWN,M,30-39
2017,MCKINLEY PARK,M,30-39
2017,ENGLEWOOD,F,0-19
2017,ENGLEWOOD,F,20-29
2017,WEST GARFIELD PARK,M,0-19
2017,NEW CITY,F,20-29
2017,NEW CITY,M,20-29
2017,NEAR WEST SIDE,F,20-29
2017,WEST GARFIELD PARK,M,20-29
2017,CHICAGO LAWN,M,20-29
2017,WEST ENGLEWOOD,M,0-19
2017,NEAR WEST SIDE,M,0-19
2017,WASHINGTON HEIGHTS,M,0-19
2017,SOUTH SHORE,F,20-29
2017,SOUTH SHORE,M,20-29
2017,AUSTIN,M,20-29
2017,FULLER PARK,M,30-39
2017,WEST GARFIELD PARK,F,40-49
2017,GAGE PARK,M,0-19
2017,WEST GARFIELD PARK,M,20-29
2017,RIVERDALE,M,20-29
2017,ENGLEWOOD,M,20-29
2017,ENGLEWOOD,M,20-29
2017,NORTH LAWNDALE,M,0-19
2017,NORTH LAWNDALE,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,ROGERS PARK,M,30-39
2017,WEST TOWN,M,30-39
2017,NEW CITY,M,30-39
2017,IRVING PARK,M,20-29
2017,NORTH LAWNDALE,M,20-29
2017,FULLER PARK,M,30-39
2017,LAKE VIEW,M,20-29
2017,LOWER WEST SIDE,M,0-19
2017,UPTOWN,M,0-19
2017,LOWER WEST SIDE,M,20-29
2017,CHICAGO LAWN,F,0-19
2017,WASHINGTON HEIGHTS,M,20-29
2017,WASHINGTON HEIGHTS,M,20-29
2017,GREATER GRAND CROSSING,M,20-29
2017,GREATER GRAND CROSSING,M,20-29
2017,GREATER GRAND CROSSING,M,40-49
2017,HUMBOLDT PARK,F,30-39
2017,DOUGLAS,M,20-29
2017,DOUGLAS,F,0-19
2017,NEW CITY,M,20-29
2017,NEW CITY,M,20-29
2017,NEW CITY,M,20-29
2017,SOUTH DEERING,M,20-29
2017,ROGERS PARK,F,0-19
2017,AUSTIN,F,20-29
2017,WEST ENGLEWOOD,M,20-29
2017,HUMBOLDT PARK,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,WASHINGTON PARK,M,20-29
2017,WEST LAWN,M,20-29
2017,CHICAGO LAWN,M,30-39
2017,LOGAN SQUARE,M,30-39
2017,MCKINLEY PARK,M,30-39
2017,BRIGHTON PARK,M,20-29
2017,NORTH LAWNDALE,M,30-39
