year,community_area,sex,age
2024,ENGLEWOOD,M,0-19
2024,NORTH CENTER,M,70-79
2024,AUBURN GRESHAM,M,20-29
2024,WEST PULLMAN,M,20-29
2024,WEST PULLMAN,M,60-69
2024,WASHINGTON HEIGHTS,M,20-29
2024,LOGAN SQUARE,M,20-29
2024,WEST ENGLEWOOD,F,40-49
2024,NEAR WEST SIDE,M,20-29
2024,NEAR WEST SIDE,F,20-29
2024,AUSTIN,M,0-19
2024,WASHINGTON HEIGHTS,M,20-29
2024,GARFIELD RIDGE,M,20-29
2024,WEST ENGLEWOOD,M,0-19
2024,NEAR WEST SIDE,M,0-19
2024,WOODLAWN,M,20-29
2024,AUSTIN,M,0-19
2024,WEST RIDGE,M,40-49
2024,WEST GARFIELD PARK,F,30-39
2024,WEST PULLMAN,M,40-49
2024,WEST GARFIELD PARK,M,20-29
2024,ARMOUR SQUARE,M,30-39
2024,ARMOUR SQUARE,M,30-39
2024,WEST TOWN,M,0-19
2024,NORTH LAWNDALE,M,0-19
2024,SOUTH SHORE,M,70-79
2024,SOUTH SHORE,M,60-69
2024,WASHINGTON PARK,M,30-39
2024,GRAND BOULEVARD,F,30-39
2024,MORGAN PARK,F,30-39
2024,NORTH LAWNDALE,M,20-29
2024,WASHINGTON PARK,M,30-39
2024,NORTH LAWNDALE,M,0-19
2024,ENGLEWOOD,M,50-59
2024,CHATHAM,M,30-39
2024,AUSTIN,UNKNOWN,UNKNOWN
2024,AUSTIN,M,30-39
2024,GREATER GRAND CROSSING,M,20-29
2024,ENGLEWOOD,M,30-39
2024,WEST GARFIELD PARK,M,40-49
2024,MONTCLARE,M,40-49
2024,MONTCLARE,M,20-29
2024,WEST PULLMAN,M,0-19
2024,LINCOLN SQUARE,M,40-49
2024,ARMOUR SQUARE,M,20-29
2024,PORTAGE PARK,M,0-19
2024,AUBURN GRESHAM,M,60-69
2024,LOGAN SQUARE,M,30-39
2024,LOGAN SQUARE,M,50-59
2024,SOUTH SHORE,M,30-39
2024,NORTH LAWNDALE,M,30-39
2024,NEAR WEST SIDE,M,60-69
2024,CHICAGO LAWN,F,50-59
2024,SOUTH CHICAGO,M,30-39
2024,NEW CITY,F,30-39
2024,MORGAN PARK,F,20-29
2024,ARMOUR SQUARE,M,20-29
2024,WEST TOWN,M,0-19
2024,WEST TOWN,M,0-19
2024,WEST PULLMAN,M,0-19
2024,EAST GARFIELD PARK,M,50-59
2024,ROGERS PARK,M,20-29
2024,SOUTH CHICAGO,M,30-39
2024,UPTOWN,M,60-69
2024,WEST ENGLEWOOD,F,20-29
2024,WEST ENGLEWOOD,M,30-39
2024,WASHINGTON PARK,F,20-29
2024,WASHINGTON PARK,M,30-39
2024,SOUTH SHORE,M,50-59
2024,SOUTH SHORE,M,50-59
2024,HUMBOLDT PARK,M,40-49
2024,EAST GARFIELD PARK,M,20-29
2024,WEST GARFIELD PARK,M,30-39
2024,GRAND BOULEVARD,M,20-29
2024,EAST GARFIELD PARK,M,50-59
2024,NEAR NORTH SIDE,M,50-59
2024,NEAR NORTH SIDE,M,40-49
2024,AUSTIN,M,20-29
2024,AUSTIN,M,0-19
2024,GREATER GRAND CROSSING,M,20-29
2024,GREATER GRAND CROSSING,F,20-29
2024,WASHINGTON HEIGHTS,M,20-29
2024,CHATHAM,M,20-29
2024,CHATHAM,M,20-29
2024,CHATHAM,M,40-49
2024,WOODLAWN,M,20-29
2024,WOODLAWN,F,30-39
2024,WOODLAWN,M,50-59
2024,WEST GARFIELD PARK,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,BRIGHTON PARK,M,40-49
2024,ALBANY PARK,M,40-49
2024,GREATER GRAND CROSSING,M,30-39
2024,WEST TOWN,M,0-19
2024,WEST TOWN,M,0-19
2024,HYDE PARK,M,20-29
2024,CHICAGO LAWN,M,40-49
2024,GREATER GRAND CROSSING,M,50-59
2024,ASHBURN,M,20-29
2024,ROGERS PARK,M,30-39
2024,NEAR SOUTH SIDE,M,20-29
2024,NEAR WEST SIDE,M,30-39
2024,WEST PULLMAN,M,30-39
2024,WEST ENGLEWOOD,M,20-29
2024,NEAR WEST SIDE,M,40-49
2024,AUBURN GRESHAM,M,20-29
2024,AUBURN GRESHAM,F,30-39
2024,FULLER PARK,M,0-19
2024,UPTOWN,M,40-49
2024,EAST SIDE,M,40-49
2024,WOODLAWN,M,30-39
2024,WEST ENGLEWOOD,M,30-39
2024,ROGERS PARK,M,0-19
2024,EDGEWATER,F,30-39
2024,SOUTH SHORE,M,20-29
2024,LOGAN SQUARE,M,20-29
2024,IRVING PARK,F,30-39
2024,NORTH LAWNDALE,M,40-49
2024,GREATER GRAND CROSSING,F,20-29
2024,IRVING PARK,M,30-39
2024,ROSELAND,F,0-19
2024,WEST PULLMAN,F,40-49
2024,SOUTH SHORE,M,20-29
2024,CHATHAM,M,20-29
2024,MORGAN PARK,M,40-49
2024,CHATHAM,M,20-29
2024,EDGEWATER,M,40-49
2024,ROGERS PARK,M,20-29
2024,ROGERS PARK,M,20-29
2024,NORTH LAWNDALE,M,30-39
2024,SOUTH SHORE,M,30-39
2024,HUMBOLDT PARK,M,20-29
2024,NEAR SOUTH SIDE,F,30-39
2024,NORTH LAWNDALE,M,0-19
2024,CHATHAM,M,30-39
2024,ROSELAND,M,0-19
2024,ROSELAND,M,20-29
2024,WEST PULLMAN,F,UNKNOWN
2024,WEST PULLMAN,M,20-29
2024,NORTH LAWNDALE,M,30-39
2024,GREATER GRAND CROSSING,M,0-19
2024,NEW CITY,M,50-59
2024,GARFIELD RIDGE,M,20-29
2024,CALUMET HEIGHTS,M,30-39
2024,CHATHAM,UNKNOWN,UNKNOWN
2024,WEST RIDGE,M,30-39
2024,WEST GARFIELD PARK,M,30-39
2024,AUSTIN,M,20-29
2024,LAKE VIEW,M,20-29
2024,LAKE VIEW,M,20-29
2024,ROSELAND,F,20-29
2024,ENGLEWOOD,M,20-29
2024,ENGLEWOOD,M,20-29
2024,WEST RIDGE,M,0-19
2024,WOODLAWN,F,20-29
2024,BRIGHTON PARK,M,30-39
2024,HUMBOLDT PARK,M,50-59
2024,WASHINGTON PARK,M,20-29
2024,BELMONT CRAGIN,M,40-49
2024,NEW CITY,M,20-29
2024,SOUTH SHORE,M,30-39
2024,RIVERDALE,M,0-19
2024,AUBURN GRESHAM,M,20-29
2024,AVALON PARK,M,0-19
2024,AUBURN GRESHAM,M,30-39
2024,ROGERS PARK,M,20-29
2024,ROGERS PARK,M,20-29
2024,ROGERS PARK,M,0-19
2024,WOODLAWN,M,0-19
2024,ROSELAND,F,50-59
2024,SOUTH CHICAGO,M,50-59
2024,ENGLEWOOD,M,30-39
2024,WASHINGTON PARK,M,30-39
2024,NORTH LAWNDALE,M,50-59
